Date	3011	3016	3017	3005	3004	3007	3006	3001	3014	3003	3002	3041	3040	3043	3042	3045	3008	3047	3046	3029	3028	3027	3026	3025	3024	3023	3022	3021	3044	3048	3009	3061	3020	3015	3058	3059	3056	3057	3054	3055	3052	3053	3050	3051	3049	3018	3019	3038	3039	3062	3012	3035	3010	3037	3030	3031	3032	3033	3034	3060	3013	3036
1/1/17	0	0	0	0	0	0	0	151902	0	0	2755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/2/17	0	0	0	0	0	0	0	157271	0	2343	143598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/3/17	0	0	0	0	2034	0	0	95806	0	126034	138308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/4/17	0	0	0	1822	116066	0	0	68874	0	129751	91469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/5/17	0	0	0	116459	125542	0	2259	58871	0	88032	69861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/6/17	0	0	0	129690	91424	2688	132946	58224	0	71411	63950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/7/17	0	0	0	88469	67571	137041	145537	50809	0	54615	54238	0	0	0	0	0	2773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/8/17	0	0	0	64111	52151	137822	89981	43880	0	47324	47457	0	0	0	0	0	119303	0	0	0	0	0	0	0	0	0	0	0	0	0	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/9/17	0	0	0	42930	36549	65077	54705	29636	0	33011	32334	0	0	0	0	0	92918	0	0	0	0	0	0	0	0	0	0	0	0	0	82906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0
1/10/17	1612	0	0	35592	30390	48735	41935	26046	0	28416	27145	0	0	0	0	0	61657	0	0	0	0	0	0	0	0	0	0	0	0	0	88341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85636	0	0	0	0	0	0	0	0	0
1/11/17	89799	0	0	32951	28707	42062	38290	25081	0	27027	26920	0	0	0	0	0	48452	0	0	0	0	0	0	0	0	0	0	0	0	0	63858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1564	0	92930	0	0	0	0	0	0	0	0	0
1/12/17	92497	0	0	27683	25132	34878	31806	22253	0	22189	23143	0	0	0	0	0	37072	0	0	0	0	0	0	0	0	0	0	0	0	0	47276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81003	0	59541	0	0	0	0	0	0	0	1751	0
1/13/17	70626	0	0	27826	26275	37544	34576	24983	3203	23890	24553	0	0	0	0	0	40470	0	0	0	0	0	0	0	0	0	0	0	0	0	44109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91380	0	52174	0	0	0	0	0	0	0	115329	0
1/14/17	59290	0	0	28590	26762	39714	34944	27998	144165	25898	25432	0	0	0	0	0	40424	0	0	0	0	0	0	0	0	0	0	0	0	0	38553	0	0	2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68780	0	44706	0	0	0	0	0	0	0	141810	0
1/15/17	48850	1535	0	25755	25230	34371	31370	25181	144765	24410	25624	0	0	0	0	0	37372	0	0	0	0	0	0	0	0	0	0	0	0	0	34834	0	0	132721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54085	0	37998	0	0	0	0	0	0	0	93431	0
1/16/17	29512	82899	1450	16579	15365	21691	20136	13804	66264	15424	15256	0	0	0	0	0	20657	0	0	0	0	0	0	0	0	0	0	0	0	0	22111	0	0	101976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34293	0	25036	0	0	0	0	0	0	0	53430	0
